ethnicity,cla,pop,percentage
Total,429,57670,0.743887637
White,124,27491,0.451056709
Mixed,43,7993,0.537970724
Asian,7,4746,0.147492625
Black,231,14555,1.587083476
Other,24,2885,0.831889081
