"","age_range","outcome","involved_person","self_defined_ethnicity","gender","legislation","outcome_linked_to_object_of_search","datetime","removal_of_more_than_outer_clothing","outcome_object.id","outcome_object.name","location.latitude","location.street.id","location.street.name","location.longitude","operation","officer_defined_ethnicity","type","operation_name","object_of_search"
"21",18-24,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-22T01:43:12+00:00,NULL,bu-no-further-action,A no further action disposal,52.403357,1245922,On or near Alcester Road South,-1.885439,FALSE,Asian,Person and Vehicle search,NULL,Controlled drugs
"22",18-24,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-14T23:21:42+00:00,NULL,bu-no-further-action,A no further action disposal,52.389154,1244148,On or near Ashbridge Court,-2.006935,FALSE,White,Person and Vehicle search,NULL,Controlled drugs
"23",18-24,Arrest,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-07-18T22:55:10+00:00,NULL,bu-arrest,Arrest,52.394534,1246176,On or near Dormy Drive,-1.965950,FALSE,White,Person search,NULL,Article for use in theft
"24",18-24,A no further action disposal,TRUE,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-07-31T20:56:00+00:00,NULL,bu-no-further-action,A no further action disposal,52.406118,1246464,On or near Gorsymead Grove,-1.997736,FALSE,Asian,Person and Vehicle search,NULL,Anything to threaten or harm anyone
"25",over 34,A no further action disposal,TRUE,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-01T15:30:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Controlled drugs
"26",NULL,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-02T17:58:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Controlled drugs
"27",NULL,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-07-02T18:14:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Controlled drugs
"28",NULL,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-07-02T20:20:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Controlled drugs
"29",NULL,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-07-03T03:53:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Firearms
"30",NULL,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-07-06T12:40:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Controlled drugs
"31",10-17,A no further action disposal,TRUE,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-06T14:28:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Controlled drugs
"32",25-34,A no further action disposal,TRUE,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-07-07T17:20:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Anything to threaten or harm anyone
"33",25-34,A no further action disposal,TRUE,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-07T18:46:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Controlled drugs
"34",18-24,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-07-12T17:50:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Stolen goods
"35",over 34,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-07-14T13:30:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Stolen goods
"36",18-24,A no further action disposal,TRUE,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-07-16T14:25:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Controlled drugs
"37",18-24,A no further action disposal,TRUE,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-07-16T14:27:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Controlled drugs
"38",18-24,A no further action disposal,TRUE,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-07-16T14:37:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Controlled drugs
"39",10-17,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-07-17T12:45:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Controlled drugs
"40",10-17,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-07-17T12:48:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Controlled drugs
"41",over 34,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-07-18T07:20:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.479567,1489663,Corporation Street (Tram Stop),-1.897271,NULL,White,Person search,NULL,Evidence of offences under the Act
"42",18-24,A no further action disposal,TRUE,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-18T21:57:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Controlled drugs
"43",25-34,Arrest,TRUE,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-07-28T07:45:00+00:00,FALSE,bu-arrest,Arrest,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Offensive weapons
"44",10-17,A no further action disposal,TRUE,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-07-28T13:46:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Controlled drugs
"45",over 34,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-07-29T07:52:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Stolen goods
"46",18-24,A no further action disposal,TRUE,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-07-29T10:50:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Anything to threaten or harm anyone
"47",over 34,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-07-29T11:05:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Anything to threaten or harm anyone
"48",18-24,A no further action disposal,TRUE,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-07-30T19:54:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Anything to threaten or harm anyone
"49",18-24,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-06-17T22:50:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.546136,1264965,On or near Parkwood Croft,-1.918277,NULL,White,Person search,NULL,Controlled drugs
"50",25-34,Arrest,TRUE,Asian/Asian British - Indian,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2021-06-08T01:19:28+00:00,NULL,bu-arrest,Arrest,52.398647,1246248,On or near Broughton Crescent,-1.986655,FALSE,Asian,Person and Vehicle search,NULL,Controlled drugs
"51",25-34,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Firearms Act 1968 (section 47),TRUE,2021-06-14T22:52:02+00:00,NULL,bu-no-further-action,A no further action disposal,52.405930,1246913,On or near Supermarket,-1.886991,FALSE,Asian,Person and Vehicle search,NULL,Firearms
"52",over 34,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Firearms Act 1968 (section 47),TRUE,2021-06-14T22:58:08+00:00,NULL,bu-no-further-action,A no further action disposal,52.405390,1245923,On or near Supermarket,-1.886257,FALSE,Asian,Person search,NULL,Firearms
"53",25-34,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Firearms Act 1968 (section 47),TRUE,2021-06-26T16:59:10+00:00,NULL,bu-no-further-action,A no further action disposal,52.416465,1246497,On or near Trescott Road,-1.985091,FALSE,Asian,Person search,NULL,Firearms
